frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
100,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:37
104,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:37
108,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:37
112,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:37
116,CAM-01,Primary Junction,4,3,0,0,7,4,0,0,2026-02-13T01:08:37
120,CAM-01,Primary Junction,4,5,0,0,9,4,0,0,2026-02-13T01:08:37
124,CAM-01,Primary Junction,3,5,0,0,8,3,0,0,2026-02-13T01:08:37
128,CAM-01,Primary Junction,4,3,0,0,7,4,0,0,2026-02-13T01:08:37
132,CAM-01,Primary Junction,4,3,0,0,7,4,0,0,2026-02-13T01:08:37
136,CAM-01,Primary Junction,4,3,0,0,7,4,0,0,2026-02-13T01:08:38
140,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:38
144,CAM-01,Primary Junction,4,5,0,0,9,4,0,0,2026-02-13T01:08:38
148,CAM-01,Primary Junction,4,6,0,0,10,4,0,0,2026-02-13T01:08:38
152,CAM-01,Primary Junction,4,4,0,0,8,4,0,0,2026-02-13T01:08:38
156,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:38
160,CAM-01,Primary Junction,4,4,0,0,8,4,0,0,2026-02-13T01:08:38
164,CAM-01,Primary Junction,3,5,0,0,8,3,0,0,2026-02-13T01:08:38
168,CAM-01,Primary Junction,3,6,0,0,9,3,0,0,2026-02-13T01:08:39
172,CAM-01,Primary Junction,3,7,0,0,10,3,0,1,2026-02-13T01:08:39
176,CAM-01,Primary Junction,3,6,0,0,9,3,0,2,2026-02-13T01:08:39
180,CAM-01,Primary Junction,2,5,0,0,7,2,0,2,2026-02-13T01:08:39
184,CAM-01,Primary Junction,3,6,0,0,9,3,0,3,2026-02-13T01:08:39
188,CAM-01,Primary Junction,2,8,0,0,10,2,0,4,2026-02-13T01:08:39
192,CAM-01,Primary Junction,2,7,0,0,9,2,0,5,2026-02-13T01:08:39
196,CAM-01,Primary Junction,2,7,0,0,9,2,0,6,2026-02-13T01:08:39
200,CAM-01,Primary Junction,3,6,0,0,9,3,0,6,2026-02-13T01:08:39
204,CAM-01,Primary Junction,2,7,0,0,9,2,0,7,2026-02-13T01:08:40
208,CAM-01,Primary Junction,2,7,0,0,9,2,0,8,2026-02-13T01:08:40
212,CAM-01,Primary Junction,2,7,0,0,9,2,0,9,2026-02-13T01:08:40
216,CAM-01,Primary Junction,2,6,0,0,8,2,0,9,2026-02-13T01:08:40
